DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,SPON1,SLC34A2,CDH6,CA2,CLDN6,WFDC2,UPK1B,SPOCK2,MEOX1,RHEX
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",blood,AML,M3,blood,DEFA1,MPO,PRG2,ELANE,PRTN3,DEFA1B,AIF1,DEFA3,AZU1,CTSG
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,APOA2,APOA1,PAGE4,NPPB,VTN,SPINK1,VIL1,IGF2,XAGE3,APOE
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",blood,AML,M6,blood,HBG2,HBA1,HDC,CA1,FCER1A,PRG2,HBE1,AIF1,MYL4,ITGA2B
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",blood,AML,M6,blood,HBG2,CA1,HBA1,FCER1A,AIF1,MYL4,HDC,MS4A3,SAMSN1,PLEK
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",blood,AML,M5,blood,CTSG,ELANE,PPP1R27,LYZ,AZU1,ALOX5AP,FLT3,SRGN,LAIR1,ITGB2
ACH-000007,LS513,LS513_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,SPINK4,PHGR1,LGALS4,TSPAN8,FABP1,LYZ,REG4,TFF3,DPEP1,GPA33
ACH-000008,A101D,A101D_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,NGFR,CTAG2,GAGE2A,CCL2,PAGE5,CXCL1,GAGE2E,MIA,XAGE1B
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,APOA2,VTN,APOA1,NPPB,VIL1,CDH17,SLC2A3,TAGLN,OLR1,TSPAN8
ACH-000011,253J,253J_URINARY_TRACT,Male,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,ALDH1A1,TFPI2,SPP1,AKR1B10,VCAM1,AKR1C2,RGS5,AKR1C1,PDZK1IP1,AREG
ACH-000012,HCC827,HCC827_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,KRT7,SFTA2,XAGE1B,CST6,G0S2,EGFR,FLNC,F3,PDZK1IP1,KRT19
ACH-000013,ONCODG1,ONCODG1_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,SPOCK2,SPON1,SLC34A2,CDH6,CA2,WFDC2,UPK1B,CLDN6,MUC16,PAX8
ACH-000014,HS294T,HS294T_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,NGFR,MIA,SERPINE2,PLP1,GAGE2A,CCL2,SOX10,CTAG2,PAGE5
ACH-000015,NCIH1581,NCIH1581_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",lung,NSCLC,NSCLC_large_cell,lung,DKK4,GCG,NTS,RGS1,GPC3,HAND2,ZIC1,ALDH1A1,MAGEA4,MYF5
ACH-000016,SLR21,SLR21_KIDNEY,Unknown,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,SPP1,RARRES2,AKR1B10,PDZK1IP1,ANXA13,SLC34A2,MMP7,C3,CA2,TFPI2
ACH-000017,SKBR3,SKBR3_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERneg_HER2pos,breast,DHRS2,S100A9,SUSD2,S100A14,BCAS1,S100A8,KRT4,KRT19,VTCN1,SPDEF
ACH-000018,T24,T24_URINARY_TRACT,Female,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,CLDN11,KRT7,ESM1,RGS4,PTX3,TAGLN,SRGN,KRTAP2-3,MT1E,TGM2
ACH-000019,MCF7,MCF7_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERpos_HER2neg,breast,TFF1,SPTSSB,SERPINA3,GATA3,CCN5,GREB1,MGP,SERPINA5,KRT19,SULF2
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,TCL1A,IGLL1,VPREB1,HLA-DRA,IRAG2,CD52,HLA-DRB5,LEF1,NIBAN3,CD22
ACH-000021,NCIH1693,NCIH1693_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CST6,KRT81,MAGEA4,CLDN6,C19orf33,ANKRD1,CTAG2,PLAC8,KRTAP2-3,ANO2
ACH-000022,PATU8988S,PATU8988S_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,REG4,LGALS4,LYZ,TSPAN8,AGR2,CDH17,CLDN18,GPX2,HMGCS2,ERN2
ACH-000023,PATU8988T,PATU8988T_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,MT1E,C19orf33,DYSF,TGM2,KISS1,RBP7,TM4SF19,CYP24A1,SERPINE1,DMKN
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Meningioma,central_nervous_system,meningioma,,central_nervous_system,CXCL5,CSF3,CXCL1,CXCL6,IL1B,CLDN11,ECSCR,COL6A3,IL6,CXCL8
