species,tissue_type,cancer_type,cell_type,cell_name,marker,Symbol,Genename
Human,Abdomen,Normal,Normal cell,Macrophage,MERTK,MERTK,"MER proto-oncogene, tyrosine kinase"
Human,Abdomen,Normal,Normal cell,Macrophage,CD16,FCGR3A,Fc fragment of IgG receptor IIIb
Human,Abdomen,Normal,Normal cell,Macrophage,CD206,MRC1,mannose receptor C-type 1
Human,Abdomen,Normal,Normal cell,Macrophage,CRIg,VSIG4,V-set and immunoglobulin domain containing 4
Human,Abdomen,Normal,Normal cell,Macrophage,CD163,CD163,CD163 molecule
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,FABP4,FABP4,fatty acid binding protein 4
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,PDGFRα ,,
Human,Abdominal fat pad,Normal,Normal cell,Brown adipocyte,UCP1,UCP1,uncoupling protein 1
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Wisp1,Ccn4,cellular communication network factor 4
Mouse,Muscle,Normal,Normal cell,Myoblast,Myod1,Myod1,myogenic differentiation 1
Mouse,Muscle,Normal,Normal cell,Muscle satellite cell,Myf5,Myf5,myogenic factor 5
Mouse,Muscle,Normal,Normal cell,Myocyte,Ckm,Ckm,"creatine kinase, muscle"
Mouse,Muscle,Normal,Normal cell,Myocyte,Acta1,Acta1,"actin alpha 1, skeletal muscle"
Mouse,Muscle,Normal,Normal cell,Lymphatic endothelial cell,Ccl21a,Ccl21a,chemokine (C-C motif) ligand 21A (serine)
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Pdgfra,Pdgfra,"platelet derived growth factor receptor, alpha polypeptide"
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Cxcl5,Cxcl5,chemokine (C-X-C motif) ligand 5
Mouse,Muscle,Normal,Normal cell,Tenocyte,Fmod,Fmod,fibromodulin
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Ccl7,Ccl7,chemokine (C-C motif) ligand 7
Mouse,Muscle,Normal,Normal cell,Muscle satellite cell,Pax7,Pax7,paired box 7
Mouse,Muscle,Normal,Normal cell,Endothelial cell,Cdh5,Cdh5,cadherin 5
Mouse,Muscle,Normal,Normal cell,Lymphatic endothelial cell,Lyve1,Lyve1,lymphatic vessel endothelial hyaluronan receptor 1
Mouse,Muscle,Normal,Normal cell,Fibro-adipogenic progenitor cell,Ly6a,Ly6a,"lymphocyte antigen 6 complex, locus A"
