"names","scores","logfoldchanges","pvals","pvals_adj","group"
"CD79B",80.6379,7.4512863,0,0,"B cell"
"CD74",78.34478,35.61324,0,0,"B cell"
"LOC105886026",64.82749,5.277712,0,0,"B cell"
"CD79A",63.773304,5.8247175,0,0,"B cell"
"LOC105869751",62.514877,10.272052,0,0,"B cell"
"LOC105886005",59.88007,4.875257,0,0,"B cell"
"MS4A1",56.245205,7.8703203,0,0,"B cell"
"LOC105876782",51.961613,3.6086245,0,0,"B cell"
"LOC105872012",50.873104,5.9786935,0,0,"B cell"
"LOC105876793",50.611618,5.6415935,0,0,"B cell"
"MEF2C",49.89852,4.0328665,0,0,"B cell"
"BANK1",48.053078,5.615479,0,0,"B cell"
"CD22",47.14356,6.5343766,0,0,"B cell"
"LOC105878636",46.96907,4.135018,0,0,"B cell"
"SMC6",45.564537,3.328766,0,0,"B cell"
"CD19",45.409702,6.5882893,0,0,"B cell"
"SPIB",43.203156,5.828907,0,0,"B cell"
"CD37",43.160583,2.3755643,0,0,"B cell"
"LOC105855981",41.74331,3.047199,0,0,"B cell"
"PKHD1L1",41.62261,6.40457,0,0,"B cell"
"LTB",40.560787,4.452036,0,0,"B cell"
"LOC105855163",40.23668,12.260402,3.34038250985483e-307,5.75777420694835e-306,"B cell"
"RNASE6",40.164078,2.6625621,1.90554589637361e-306,3.27203518522268e-305,"B cell"
"LOC105869753",39.419746,3.0247679,4.08529481558079e-303,6.95427089919692e-302,"B cell"
"RPS6",39.245674,9.748291,6.13651823169105e-296,1.02358683410462e-294,"B cell"
"LOC105869752",37.688793,2.4241765,4.12421696164704e-280,6.53343148539651e-279,"B cell"
"VPREB3",37.659786,7.491321,2.04609047873135e-272,3.16185703258195e-271,"B cell"
"BCL11A",36.971638,2.917588,2.25521435685417e-264,3.39024566651326e-263,"B cell"
"LOC105873215",36.446503,3.9767764,1.7250208956618e-258,2.53989174772932e-257,"B cell"
"PTPRCAP",36.374683,2.609117,1.3169433794155e-257,1.93542765587701e-256,"B cell"
"LOC105886004",36.17627,2.0088117,9.04941958568111e-256,1.32069551517011e-254,"B cell"
"RABEP2",36.05373,3.119255,1.40263541025641e-252,2.02175842368569e-251,"B cell"
"EEF1A1",35.593872,5.778496,3.9601934483965e-248,5.60061648857833e-247,"B cell"
"TCF4",35.440582,2.1064677,1.56233925000193e-246,2.19963125238207e-245,"B cell"
"LOC105861123",35.43249,3.3182187,2.7304173772762e-248,3.86837774912752e-247,"B cell"
"PLAC8",35.138428,3.852141,2.37597798276831e-241,3.2864218726535e-240,"B cell"
"BTLA",35.014126,4.9162736,1.22344801048624e-239,1.68192074007028e-238,"B cell"
"TNFRSF13C",34.088142,4.937307,1.75199410885718e-228,2.32926507915531e-227,"B cell"
"RHOH",33.90652,2.1098115,8.7326423585418e-227,1.15321386452344e-225,"B cell"
"LOC105859379",33.554733,2.1504252,1.92861764916175e-223,2.50696425360715e-222,"B cell"
"BEX2",33.417755,2.2371757,3.87263388067413e-222,5.00298568864949e-221,"B cell"
"RPL23A",33.20853,11.499037,1.27787206124656e-219,1.63676710478934e-218,"B cell"
"RPL12",32.956676,13.289786,1.01746424933104e-216,1.28855631158247e-215,"B cell"
"LOC105866170",32.920525,2.9963436,6.59724823219689e-215,8.28838495009138e-214,"B cell"
"RPL31",32.528027,5.873159,1.33513623471427e-211,1.65299833475882e-210,"B cell"
"SESN3",32.047497,2.8333714,8.47347010267924e-205,1.02295237343034e-203,"B cell"
"RPL27A",31.719124,11.156294,4.04948834018057e-202,4.83132631998295e-201,"B cell"
"IRF8",31.516647,2.663724,8.37940747529253e-199,9.87385004259508e-198,"B cell"
"NAPSA",31.443863,2.1376505,1.17463015097446e-207,1.43510746130494e-206,"B cell"
"CCDC50",31.400663,3.3021705,3.01145638541749e-197,3.52219670557238e-196,"B cell"
"CNTRL",30.745878,1.7947016,2.91719094568309e-190,3.30877500027101e-189,"B cell"
"LOC105880627",30.67362,2.3890007,3.0776398961237e-190,3.48950541514795e-189,"B cell"
"LOC105874223",30.672892,2.9738529,1.97283710308294e-190,2.23926960666572e-189,"B cell"
"SIGLEC10",30.59114,4.3662386,4.30800285185721e-188,4.82891717748733e-187,"B cell"
"OSTN",30.49116,6.2460666,6.41223077752666e-187,7.15196387855177e-186,"B cell"
"RPL22",30.42253,2.2900276,3.87259180066596e-187,4.3254695160292e-186,"B cell"
"BIRC3",30.356308,2.6716502,6.08744220554814e-186,6.76337152519804e-185,"B cell"
"POU2F2",30.276346,2.9195485,7.28290062401576e-185,8.0603061384655e-184,"B cell"
"KIAA0040",30.192284,2.6758654,8.24215186841902e-184,9.07731433841367e-183,"B cell"
"FCRLA",30.135998,5.9133487,5.55889539275592e-183,6.09871987919033e-182,"B cell"
"RPS11",30.047337,10.84844,6.72740177469746e-183,7.37299834848495e-182,"B cell"
"RPS15A",30.026773,12.493811,7.13732054819587e-183,7.81681728026082e-182,"B cell"
"PAX5",30.018627,6.5861545,1.1097794052406e-181,1.20954822828524e-180,"B cell"
"LOC105886010",29.729712,1.5664536,2.92036692054369e-180,3.16429990713243e-179,"B cell"
"LOC105862254",29.674395,1.8318944,2.17471490995994e-178,2.33548371158582e-177,"B cell"
"BLNK",29.651194,3.1664696,7.38515772693894e-178,7.90954911006523e-177,"B cell"
"ARHGAP15",29.387697,1.556034,2.45442603371962e-175,2.59431432057939e-174,"B cell"
"LOC105862865",29.19569,2.0077238,4.59468159235961e-173,4.80816414127064e-172,"B cell"
"CD72",29.17296,4.128611,1.55204215095755e-172,1.62092463157181e-171,"B cell"
"WDFY4",28.91268,2.0767844,5.16095950316292e-170,5.33519268324018e-169,"B cell"
"ARL5C",28.911076,4.4718843,1.07007769970428e-169,1.10547797508139e-168,"B cell"
"RPS19",28.653545,10.190187,1.12593760137308e-167,1.15523177732545e-166,"B cell"
"LOC105856414",28.454147,1.8379836,2.63247622969887e-165,2.67829168619896e-164,"B cell"
"MAML2",28.378006,1.8062252,2.18796774935876e-164,2.21602943794745e-163,"B cell"
"LOC105868169",28.376154,6.6230745,5.80051850226309e-164,5.85984410028239e-163,"B cell"
"CD180",28.106243,3.5118637,3.11580372542421e-161,3.10879859355261e-160,"B cell"
"GPR183",28.0539,2.7950933,6.53077981569187e-161,6.50579643416488e-160,"B cell"
"AK5",28.012281,5.3140955,3.84236191192791e-160,3.82041595086578e-159,"B cell"
"LOC105868017",27.94768,4.972901,3.41361545187811e-160,3.3951896866549e-159,"B cell"
"LOC105877524",27.88636,4.0940557,7.21320789587534e-159,7.13150196395156e-158,"B cell"
"LOC105862422",27.545528,5.647187,2.82050658144043e-155,2.7370293155099e-154,"B cell"
"PRKCB",27.435036,1.712151,1.77423219219985e-154,1.7159079847767e-153,"B cell"
"LOC105881350",27.420218,5.1460223,3.68072011963221e-155,3.56848646921511e-154,"B cell"
"RPL35A",27.380743,2.5141513,2.6530195037824e-154,2.5634465361754e-153,"B cell"
"LOC109729770",27.364574,2.4570382,5.07036720764553e-155,4.91122657072558e-154,"B cell"
"BTG1",27.348595,1.448138,2.00286173475676e-154,1.93642744401505e-153,"B cell"
