"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Cd74",437.1524,6.774669,0,0,"B cell"
"Cd79a",410.58542,8.171274,0,0,"B cell"
"H2-Aa",322.28116,5.735689,0,0,"B cell"
"H2-Ab1",315.32974,5.472276,0,0,"B cell"
"H2-Eb1",302.9756,5.4276223,0,0,"B cell"
"Cd79b",296.22742,7.4854007,0,0,"B cell"
"Cd52",218.61989,3.7089155,0,0,"B cell"
"Ly6d",211.97536,5.031062,0,0,"B cell"
"Cd37",197.28622,4.547855,0,0,"B cell"
"Fau",196.63942,1.5224805,0,0,"B cell"
"Ms4a1",179.43994,8.270935,0,0,"B cell"
"Rpl18a",175.39468,1.4348562,0,0,"B cell"
"Rps19",175.16893,1.4635304,0,0,"B cell"
"Rps15a",171.0472,1.5244329,0,0,"B cell"
"Coro1a",168.7724,3.0379076,0,0,"B cell"
"Rpl13a",166.81995,1.3743101,0,0,"B cell"
"Uba52",164.81705,1.3147346,0,0,"B cell"
"Rps13",162.29488,1.4538835,0,0,"B cell"
"Rps7",162.16544,1.4635733,0,0,"B cell"
"Rps24",158.52657,1.3319292,0,0,"B cell"
"Rpl17",153.958,1.3062593,0,0,"B cell"
"Ptprcap",153.82236,3.4606736,0,0,"B cell"
"Faim3",151.69872,7.720902,0,0,"B cell"
"Rps16",149.68968,1.1957793,0,0,"B cell"
"Rps20",146.53545,1.404277,0,0,"B cell"
"Rps18",145.11069,1.3416696,0,0,"B cell"
"Ltb",144.2735,3.9394202,0,0,"B cell"
"Rpl32",144.00896,1.2883028,0,0,"B cell"
"Ly6e",143.67621,2.102717,0,0,"B cell"
"Rpl13",141.9123,1.1590585,0,0,"B cell"
"Shisa5",141.70476,2.527645,0,0,"B cell"
"Rpl27",140.96649,1.2645721,0,0,"B cell"
"Rps15",138.8473,1.1709963,0,0,"B cell"
"Rps5",137.23209,1.1878387,0,0,"B cell"
"Rpl19",136.19295,1.1348019,0,0,"B cell"
"Rpl35",135.013,1.1280841,0,0,"B cell"
"Rac2",134.52647,2.6620288,0,0,"B cell"
"Rpl8",129.77312,1.057537,0,0,"B cell"
"Sh3bgrl3",129.75063,1.9399732,0,0,"B cell"
"Arhgdib",129.19255,2.392957,0,0,"B cell"
"Rps27",128.98154,1.5949504,0,0,"B cell"
"Rps9",128.72064,1.1078918,0,0,"B cell"
"Rps3",128.17006,1.0885804,0,0,"B cell"
"Rpl4",128.01865,1.2406858,0,0,"B cell"
"Rpl27a",125.31366,1.0858715,0,0,"B cell"
"Rpl6",124.91097,1.0489335,0,0,"B cell"
"Rps11",124.69812,1.1546378,0,0,"B cell"
"Rpl21",124.63007,1.021667,0,0,"B cell"
"Rpsa",124.38344,1.2889303,0,0,"B cell"
"Rplp2",123.45143,1.0389907,0,0,"B cell"
"Ctss",122.671684,3.2239664,0,0,"B cell"
"Rps6",120.58732,1.0798774,0,0,"B cell"
"Rpl12",119.37434,1.4057573,0,0,"B cell"
"2010001M09Rik",119.27716,6.7259793,0,0,"B cell"
"Rpl37a",119.2365,0.9767768,0,0,"B cell"
"Rpl23a",118.803635,0.9551785,0,0,"B cell"
"Rpl11",118.46168,1.0011889,0,0,"B cell"
"H2-Ob",117.04825,5.9919086,0,0,"B cell"
"Rps3a",115.61774,0.9983034,0,0,"B cell"
"Rps10",115.50904,1.112496,0,0,"B cell"
"Rpl10a",115.11272,1.202046,0,0,"B cell"
"Apobec3",114.804535,3.3882315,0,0,"B cell"
"Tmsb10",114.3981,1.687989,0,0,"B cell"
"Rpl18",113.63888,1.0471058,0,0,"B cell"
"Rps4x",113.48219,0.9973776,0,0,"B cell"
"Rpl23",112.91866,0.9809978,0,0,"B cell"
"Rpl9",112.78054,0.93110466,0,0,"B cell"
"Rps29",110.744385,0.9065814,0,0,"B cell"
"Rpl35a",110.10381,0.8299813,0,0,"B cell"
"Rps23",108.92558,0.8657326,0,0,"B cell"
"Rpl39",107.69436,1.0958236,0,0,"B cell"
"Rpl3",106.73183,1.1030585,0,0,"B cell"
"Napsa",105.80131,3.448575,0,0,"B cell"
"H3f3a",105.008,1.3776734,0,0,"B cell"
