"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000142700",0,7.43868442270805,0.606,0.006,0,"stem cell","ENSG00000142700"
"ENSG00000007372",0,6.92098011386429,0.97,0.015,0,"stem cell","ENSG00000007372"
"ENSG00000187242",0,6.59028427983163,0.727,0.008,0,"stem cell","ENSG00000187242"
"ENSG00000147689",1.78948205667489e-193,6.23338339398895,0.818,0.025,1.04790279756825e-188,"stem cell","ENSG00000147689"
"ENSG00000177459",3.45939290596714e-164,6.28135482587073,0.788,0.027,2.0257858918053e-159,"stem cell","ENSG00000177459"
"ENSG00000149043",9.22755290911559e-158,6.28470656813076,0.879,0.034,5.403562708049e-153,"stem cell","ENSG00000149043"
"ENSG00000065618",2.12892694580496e-150,6.92307614573202,0.909,0.04,1.24667833019393e-145,"stem cell","ENSG00000065618"
"ENSG00000166670",2.64766007485166e-134,4.89185170415302,0.636,0.021,1.55044326323238e-129,"stem cell","ENSG00000166670"
"ENSG00000162631",7.39027604845712e-130,6.20727443186186,0.515,0.014,4.32767175121601e-125,"stem cell","ENSG00000162631"
"ENSG00000186442",1.02729019722e-122,3.46138089239448,0.606,0.021,6.0157086659006e-118,"stem cell","ENSG00000186442"
"ENSG00000073282",1.76908920437803e-122,5.72973568211067,0.788,0.036,1.03596094719173e-117,"stem cell","ENSG00000073282"
"ENSG00000131746",4.59557687329666e-118,6.61792057992432,0.818,0.04,2.69112386123379e-113,"stem cell","ENSG00000131746"
"ENSG00000186081",6.09108859456298e-116,5.11102242508646,1,0.064,3.56688057009013e-111,"stem cell","ENSG00000186081"
"ENSG00000108602",7.22124928723244e-115,5.34025345479553,0.97,0.058,4.22869137011044e-110,"stem cell","ENSG00000108602"
"ENSG00000186847",3.04121831712059e-107,3.78869097242403,0.939,0.057,1.78090703432265e-102,"stem cell","ENSG00000186847"
"ENSG00000230937",4.4665808065196e-96,4.69352524885633,1,0.076,2.61558505448981e-91,"stem cell","ENSG00000230937"
"ENSG00000092295",1.59870589214993e-95,2.76369548549389,0.636,0.029,9.36186183384076e-91,"stem cell","ENSG00000092295"
"ENSG00000137699",4.56167993294119e-94,4.38117177738025,0.97,0.073,2.67127415193103e-89,"stem cell","ENSG00000137699"
"ENSG00000171346",1.04654276227292e-93,5.82408340224108,0.909,0.065,6.128449761594e-89,"stem cell","ENSG00000171346"
"ENSG00000114270",2.41678328085831e-86,6.50121121940216,0.606,0.03,1.41524412143782e-81,"stem cell","ENSG00000114270"
"ENSG00000137975",3.41309720518935e-86,4.66263692924908,0.667,0.035,1.99867559238683e-81,"stem cell","ENSG00000137975"
"ENSG00000134762",7.9576549832911e-86,4.74454527169826,0.788,0.051,4.65992318166544e-81,"stem cell","ENSG00000134762"
"ENSG00000206075",9.81532482788297e-84,3.90861686803911,0.818,0.055,5.74775606595999e-79,"stem cell","ENSG00000206075"
"ENSG00000134760",1.95011646925285e-82,4.44310345879809,0.606,0.031,1.14196870322978e-77,"stem cell","ENSG00000134760"
"ENSG00000163331",1.54325894402468e-81,3.42209093501275,0.727,0.045,9.0371700503141e-77,"stem cell","ENSG00000163331"
"ENSG00000137648",2.92930881108034e-79,5.60550133841955,0.727,0.047,1.71537394668054e-74,"stem cell","ENSG00000137648"
"ENSG00000169435",5.2586943498498e-78,7.04878253279409,0.788,0.058,3.07943882432854e-73,"stem cell","ENSG00000169435"
"ENSG00000068078",4.75961358899332e-77,7.06388751854105,0.818,0.063,2.7871821215786e-72,"stem cell","ENSG00000068078"
"ENSG00000134121",2.39208097947435e-76,6.73616730832072,0.818,0.062,1.40077870077039e-71,"stem cell","ENSG00000134121"
