Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
A1BG,1,chr19,58858172,58864865,1766,-,NM_130786,protein_coding,A1B|ABG|DKFZp686F0970|GAB|HYST2477,P6083,alpha-1-B glycoprotein
A1BG-AS1,503538,chr19,58863336,58866549,2130,+,NR_015380,lncRNA,.,.,A1BG antisense RNA 1
A1CF,29974,chr10,52559169,52645435,9505,-,NM_001198818,protein_coding,ACF|ACF64|ACF65|APOBEC1CF|ASP|MGC163391,P5928,APOBEC1 complementation factor
A2M,2,chr12,9220304,9268558,4653,-,NM_000014,protein_coding,CPAMD5|DKFZp779B086|S863-7,P15056,alpha-2-macroglobulin
A2M-AS1,144571,chr12,9217773,9220651,2187,+,NR_026971,lncRNA,.,.,A2M antisense RNA 1 (head to head)
A2ML1,144568,chr12,8975150,9029381,5363,+,NM_144670,protein_coding,CPAMD9|DKFZp686C1729|DKFZp686D2011|DKFZp686G1812|DKFZp686L1821|DKFZp686O1010|FLJ16045|FLJ25179|FLJ39129|FLJ41597|FLJ41598|FLJ41607,P32594,alpha-2-macroglobulin like 1
A2MP1,3,chr12,9381129,9386803,1201,-,NR_040112,misc_RNA,A2MP,.,alpha-2-macroglobulin pseudogene 1
A3GALT2,127550,chr1,33772367,33786699,1023,-,NM_001080438,protein_coding,IGBS3S,P20083,"alpha 1,3-galactosyltransferase 2"
A4GALT,53947,chr22,43088127,43116876,2092,-,NM_017436,protein_coding,A14GALT|A4GALT1|Gb3S|P(k)|P1|PK,P6229,"alpha 1,4-galactosyltransferase"
A4GNT,51146,chr3,137842560,137851229,1771,-,NM_016161,protein_coding,MGC149493|alpha4GnT,P35591,"alpha-1,4-N-acetylglucosaminyltransferase"
AA06,100506677,chr17,31856806,31860779,632,-,NR_037584,misc_RNA,.,.,uncharacterized LOC100506677
AAAS,8086,chr12,53701240,53715412,1837,-,NM_001173466,protein_coding,AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|DKFZp586G1624,P16676,aladin WD repeat nucleoporin
AACS,65985,chr12,125549925,125627871,3321,+,NM_023928,protein_coding,ACSF1|FLJ12389|FLJ41251|SUR-5,P20974,acetoacetyl-CoA synthetase
AACSP1,729522,chr5,178191864,178203277,2173,-,NR_024035,misc_RNA,AACSL,.,acetoacetyl-CoA synthetase pseudogene 1
AADAC,13,chr3,151531861,151546276,1606,+,NM_001086,protein_coding,CES5A1|DAC,P33125,arylacetamide deacetylase
AADACL2,344752,chr3,151451704,151475556,1500,+,NM_207365,protein_coding,MGC72001,P25651,arylacetamide deacetylase-like 2
AADACL2-AS1,101928142,chr3,151468967,151645963,772,-,NR_110202,lncRNA,.,.,AADACL2 antisense RNA 1
AADACL3,126767,chr1,12776118,12788726,4049,+,NM_001103170,protein_coding,.,P35826,arylacetamide deacetylase-like 3
AADACL4,343066,chr1,12704566,12727097,1575,+,NM_001013630,protein_coding,.,P28455,arylacetamide deacetylase-like 4
AADACP1,201651,chr3,151488244,151502682,1289,+,NR_026915,misc_RNA,.,.,arylacetamide deacetylase pseudogene 1
AADAT,51166,chr4,170981373,171011538,2396,-,NM_182662,protein_coding,KAT2|KATII,P18026,aminoadipate aminotransferase
AAED1,195827,chr9,99403533,99417599,1225,-,NM_153698,protein_coding,.,P14782,AhpC/TSA antioxidant enzyme domain containing 1
AAGAB,79719,chr15,67493013,67547536,3584,-,NM_024666,protein_coding,DKFZp667D2317|DKFZp686G08119|FLJ11506|p34,P10185,alpha- and gamma-adaptin binding protein
AAK1,22848,chr2,69685127,69870977,21265,-,NM_014911,protein_coding,DKFZp686F03202|DKFZp686K16132|FLJ23712|FLJ25931|FLJ31060|FLJ42882|FLJ45252|KIAA1048|MGC138170|MGC164568|MGC164570,P29895,AP2 associated kinase 1
AAMDC,28971,chr11,77532208,77583398,504,+,NM_024684,protein_coding,.,P35088,"adipogenesis associated, Mth938 domain containing"
AAMP,14,chr2,219128852,219134932,1832,-,NM_001302545,protein_coding,.,P13280,angio associated migratory cell protein
AANAT,15,chr17,74449433,74466199,2304,+,NM_001166579,protein_coding,SNAT,P17385,aralkylamine N-acetyltransferase
AAR2,25980,chr20,34824339,34844863,2486,+,NM_001271874,protein_coding,.,P16425,AAR2 splicing factor homolog
AARD,441376,chr8,117950464,117956239,1786,+,NM_001025357,protein_coding,.,P36042,alanine and arginine rich domain containing protein
AARS,16,chr16,70286297,70323412,3344,-,NM_001605,protein_coding,CMT2N,P9555,alanyl-tRNA synthetase
AARS2,57505,chr6,44266463,44281063,4782,-,NM_020745,protein_coding,AARSL|KIAA1270|MT-ALARS|MTALARS|bA444E17.1,P3709,"alanyl-tRNA synthetase 2, mitochondrial"
AARSD1,80755,chr17,41102543,41116515,1364,-,NM_001261434,protein_coding,MGC2744,P23303,alanyl-tRNA synthetase domain containing 1
AASDH,132949,chr4,57204451,57253674,4702,-,NM_001286670,protein_coding,ACSF4|LYS2|NRPS1098|NRPS998,P24992,aminoadipate-semialdehyde dehydrogenase
AASDHPPT,60496,chr11,105948292,105969419,2861,+,NM_015423,protein_coding,AASD-PPT|DKFZp566E2346|LYS2|LYS5,P9650,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,10157,chr7,121713598,121784344,5871,-,NM_005763,protein_coding,LKR/SDH|LKRSDH|LORSDH,P1807,aminoadipate-semialdehyde synthase
AATBC,284837,chr21,45225639,45232448,4598,-,NR_026961,lncRNA,.,.,apoptosis associated transcript in bladder cancer
AATF,26574,chr17,35306175,35414171,2141,+,NM_012138,protein_coding,CHE-1|CHE1|DED,P3457,apoptosis antagonizing transcription factor
AATK,9625,chr17,79091096,79139872,5358,-,NM_004920,protein_coding,AATYK|AATYK1|KIAA0641|LMR1|LMTK1|p35BP,P2424,apoptosis-associated tyrosine kinase
AATK-AS1,388428,chr17,79139307,79156964,1577,+,NR_027255,lncRNA,.,.,AATK antisense RNA 1
ABALON,103021294,chr20,30309310,30311212,1903,+,NR_131907,lncRNA,.,.,apoptotic BCL2L1-antisense long non-coding RNA
