Gene ID,Entrez ID,chromosome,start,end,width,strand,p_id,transcript_id,tss_id,bioType,Aliases,Description
Xkr4,497097,chr1,3214482,3671498,3634,-,P15391,NM_001011874,TSS27105,protein_coding,AY534250| Gm210| mKIAA1889| XRG4,X-linked Kx blood group related 4
Rp1,19888,chr1,4290846,4409241,9747,-,P17361,NM_001195662,TSS6138,protein_coding,Dcdc3| mG145| Orp1| Rp1h,retinitis pigmentosa 1 (human)
Sox17,20671,chr1,4490928,4497354,3327,-,P1695,NM_001289466,TSS26180,protein_coding,.,SRY (sex determining region Y)-box 17
Mrpl15,27395,chr1,4773200,4785726,1916,-,,NR_033530,TSS25007,protein_coding,HSPC145| MRP-L7| Rpml7,mitochondrial ribosomal protein L15
Lypla1,18777,chr1,4807893,4846735,2433,+,P6116,NM_008866,TSS27011,protein_coding,Pla1a,lysophospholipase 1
Tcea1,21399,chr1,4857694,4897909,2990,+,P17796,NM_001159750,TSS22181,protein_coding,S-II,transcription elongation factor A (SII) 1
Rgs20,58175,chr1,4909576,5070285,2513,-,P10335,NM_001290372,TSS26476,protein_coding,2900073E09Rik| Rgsz1,regulator of G-protein signaling 20
Atp6v1h,108664,chr1,5083173,5162549,1976,+,P23793,NM_133826,TSS19284,protein_coding,0710001F19Rik| AU022349| CGI-11| SFD| SFDalpha| SFDbeta| VMA13,"ATPase, H+ transporting, lysosomal V1 subunit H"
Oprk1,18387,chr1,5588493,5606133,4978,+,P20526,NM_011011,TSS19259,protein_coding,K-OR-1| KOR| KOR-1| MSL-1| Oprk2| R21,"opioid receptor, kappa 1"
Npbwr1,226304,chr1,5913707,5917398,3692,-,P8280,NM_010342,TSS18391,protein_coding,Gpr7| Nbpwr1,neuropeptides B /W receptor 1
Rb1cc1,12421,chr1,6214662,6276104,7046,+,P16634,NM_009826,TSS4676,protein_coding,2900055E04Rik| 5930404L04Rik| Cc1| FIP200| LaXp180,RB1-inducible coiled-coil 1
Fam150a,620393,chr1,6359331,6394731,858,+,P19323,NM_001195732,TSS1385,protein_coding,EG620393,"family with sequence similarity 150, member A"
St18,240690,chr1,6487231,6860940,6161,+,P26336,NM_001244692,TSS14333,protein_coding,AV348974| mKIAA0535| Myt3| NZF-3| Nzf3,suppression of tumorigenicity 18
