DB Class Key,Common Organism Name,NCBI Taxon ID,Symbol,EntrezGene ID,Mouse MGI ID,HGNC ID,OMIM Gene ID,Genetic Location,"Genomic Coordinates (mouse: , human: )",Nucleotide RefSeq IDs,Protein RefSeq IDs,SWISS_PROT IDs
41933335,"mouse, laboratory",10090,Gdnf,14573,MGI:107430,,,Chr15 3.8 cM,Chr15:7840327-7867056(+),"NM_001301357,NM_001301333,NM_001301332,NM_010275","NP_001288261,NP_001288286,NP_034405,NP_001288262",P48540
41933335,human,9606,GDNF,2668,,HGNC:4232,OMIM:600837,Chr5 p13.2,Chr5:37812677-37840044(-),"NM_001190469,NM_001278098,NM_199231,NM_199234,NM_001190468,NM_000514","NP_001265027,NP_954701,NP_000505,XP_016864826,NP_001177397,NP_001177398",P39905
41933336,"mouse, laboratory",10090,Mid1ip1,68041,MGI:1915291,,,ChrX 5.4 cM,ChrX:10583604-10585941(+),"NM_001166635,NM_026524","NP_001160107,NP_080800",Q9CQ20
41933336,human,9606,MID1IP1,58526,,HGNC:20715,OMIM:300961,ChrX p11.4,ChrX:38801432-38806532(+),"NM_001098790,NM_021242,NM_001098791","NP_001092260,NP_001092261,NP_067065",Q9NPA3
41933337,"mouse, laboratory",10090,Shh,20423,MGI:98297,,,Chr5 14.39 cM,Chr5:28661838-28672099(-),"XM_006535648,NM_009170,XM_006535649","NP_033196,XP_006535712,XP_006535711",Q62226
41933337,human,9606,SHH,6469,,HGNC:10848,OMIM:600725,Chr7 q36.3,Chr7:155799984-155812273(-),"NM_001310462,NM_000193","NP_000184,XP_011514782,NP_001297391,XP_011514781,XP_047276674",Q15465
41933338,"mouse, laboratory",10090,Or10j3b,258881,MGI:3031238,,,Chr1 80.33 cM,Chr1:173043174-173044207(+),NM_146881,NP_667092,
41933338,human,9606,OR10J3,441911,,HGNC:14992,,Chr1 q23.2,Chr1:159313670-159314659(-),"NM_001004467,NM_001004467",,"Q5JRS4,Q5JRS4"
41933339,"mouse, laboratory",10090,Or4e5,57269,MGI:3031341,,,Chr14 26.97 cM,Chr14:52727392-52733152(-),"NM_001170918,NM_020512","NP_065258,NP_001164389",
41933339,human,9606,OR4E1,26687,,HGNC:8296,,Chr14,Chr14:21669912-21671017(-),"NM_001317107,NM_001317107","NP_001304036,NP_001304036","P0C645,P0C645"
41933340,"mouse, laboratory",10090,Or4e1,57270,MGI:3031342,,,Chr14 26.95 cM,Chr14:52700178-52704918(-),NM_020513,NP_065259,
41933340,human,9606,OR4E1,26687,,HGNC:8296,,Chr14,Chr14:21669912-21671017(-),"NM_001317107,NM_001317107","NP_001304036,NP_001304036","P0C645,P0C645"
41933341,"mouse, laboratory",10090,Or5k1,259002,MGI:3030007,,,Chr16 34.83 cM,Chr16:58617142-58618305(-),NM_147000,NP_667211,
41933341,human,9606,OR5K1,26339,,HGNC:8349,,Chr3 q11.2,Chr3:98469480-98470576(+),"NM_001004736,NM_001004736","NP_001004736,NP_001004736","Q8NHB7,Q8NHB7"
41933341,human,9606,OR5K2,402135,,HGNC:14774,,Chr3 q11.2,Chr3:98497681-98498631(+),"NM_001004737,NM_001004737,NM_001004737","NP_001004737,NP_001004737,NP_001004737","Q8NHB8,Q8NHB8,Q8NHB8"
41933342,"mouse, laboratory",10090,Or4e2,57271,MGI:3031343,,,Chr14 26.95 cM,Chr14:52687850-52688859(+),NM_020514,NP_065260,Q7TQQ0
41933342,human,9606,OR4E2,26686,,HGNC:8297,,Chr14,Chr14:21665083-21666024(+),NM_001001912,NP_001001912,Q8NGC2
41933343,"mouse, laboratory",10090,Or5k17,259001,MGI:3030015,,,Chr16 34.83 cM,Chr16:58745920-58749007(-),NM_146999,NP_667210,Q8VGQ7
