Entry	Base_Accession	Protein_Family	Index_in_full_fasta	Gene_Name
A0A087X1C5	A0A087X1C5	Cytochrome P450 family	15	CYP2D7
A0A096LP01	A0A096LP01	SMIM26 family	17	SMIM26
A0A0B4J2F0	A0A0B4J2F0	Not available	26	PIGBOS1
A0A0C5B5G6	A0A0C5B5G6	Not available	31	MT-RNR1
A0A0K2S4Q6	A0A0K2S4Q6	CD300 family	42	CD300H
A0A0U1RRE5	A0A0U1RRE5	Not available	65	NBDY
A0A1B0GTW7	A0A1B0GTW7	Peptidase M8 family	76	CIROP
A0A2R8Y7D0	A0A2R8Y7D0	Not available	95	TINCR
A0A8I5KQE6	A0A8I5KQE6	Universal ribosomal protein uS2 family	155	RPSA2
A0AV02	A0AV02	SLC12A transporter family	199	SLC12A8
A0AV96	A0AV96	RRM RBM47 family	200	RBM47
A0AVF1	A0AVF1	IFT56 family	201	IFT56
A0AVI4	A0AVI4	TMEM129 family	203	TMEM129
A0AVK6	A0AVK6	E2F/DP family	204	E2F8
A0AVT1	A0AVT1	Ubiquitin-activating E1 family	205	UBA6
A0FGR8	A0FGR8	Extended synaptotagmin family	206	ESYT2
A0FGR9	A0FGR9	Extended synaptotagmin family	207	ESYT3
A0JLT2	A0JLT2	Mediator complex subunit 19 family	208	MED19
A0JNW5	A0JNW5	Not available	209	BLTP3B
A0JP26	A0JP26	POTE family	210	POTEB3
A0MZ66	A0MZ66	Shootin family	211	SHTN1
A0PJK1	A0PJK1	Sodium:solute symporter (SSF) (TC 2.A.21) family	214	SLC5A10
A0PJY2	A0PJY2	Krueppel C2H2-type zinc-finger protein family	215	FEZF1
A0PK00	A0PK00	TMEM120 family	216	TMEM120B
A0PK05	A0PK05	Not available	217	TMEM72
A0PK11	A0PK11	Clarin family	218	CLRN2
A1A4S6	A1A4S6	Not available	220	ARHGAP10
A1A4Y4	A1A4Y4	TRAFAC class dynamin-like GTPase superfamily, IRG family	221	IRGM
A1A519	A1A519	FAM170 family	222	FAM170A
A1A5B4	A1A5B4	Anoctamin family	223	ANO9
A1A5C7	A1A5C7	Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family	224	SLC22A23
A1E959	A1E959	ODAM family	225	ODAM
A1KXE4	A1KXE4	FAM168 family	226	FAM168B
A1KXE4-2	A1KXE4	FAM168 family	227	FAM168B
A1KZ92	A1KZ92	Peroxidase family, XPO subfamily	228	PXDNL
A1L0T0	A1L0T0	TPP enzyme family	229	HACL2
A1L167	A1L167	Ubiquitin-conjugating enzyme family	230	UBE2QL1
A1L190	A1L190	Not available	231	SYCE3
A1L390	A1L390	Not available	232	PLEKHG3
A1L3X0	A1L3X0	ELO family, ELOVL7 subfamily	233	ELOVL7
A1L4H1	A1L4H1	Not available	234	SSC5D
A1L4K1	A1L4K1	Not available	235	FSD2
A1X283	A1X283	SH3PXD2 family	236	SH3PXD2B
A1XBS5	A1XBS5	CIBAR family	237	CIBAR1
A1Z1Q3	A1Z1Q3	MacroD-type family, MacroD1/2-like subfamily	238	MACROD2
A2A288	A2A288	ZC3H12 family	239	ZC3H12D
A2A2Y4	A2A2Y4	Not available	240	FRMD3
A2IDD5	A2IDD5	CCDC78 family	245	CCDC78
A2PYH4	A2PYH4	Helicase family, SKI2 subfamily	246	HFM1
A2RRP1	A2RRP1	Not available	248	NBAS
A2RTX5	A2RTX5	Class-II aminoacyl-tRNA synthetase family	249	TARS3
A2RU14	A2RU14	TMEM218 family	250	TMEM218
A2RU30	A2RU30	Not available	251	TESPA1
A2RU49	A2RU49	Aminoglycoside phosphotransferase family	252	HYKK
A2RUB1	A2RUB1	Not available	253	MEIOC
A2RUB6	A2RUB6	Not available	254	CCDC66
A2RUC4	A2RUC4	TYW5 family	255	TYW5
A2RUH7	A2RUH7	Immunoglobulin superfamily, MyBP family	256	MYBPHL
A2VDJ0	A2VDJ0	TMEM131 family	257	TMEM131L
A2VEC9	A2VEC9	Thrombospondin family	258	SSPOP
A3KMH1	A3KMH1	Not available	259	VWA8
A3KN83	A3KN83	SBNO family	260	SBNO1
A4D0S4	A4D0S4	Not available	262	LAMB4
A4D126	A4D126	IspD/TarI cytidylyltransferase family, IspD subfamily	263	CRPPA
A4D161	A4D161	FAM221 family	264	FAM221A
A4D1B5	A4D1B5	GSAP family	266	GSAP
A4D1E9	A4D1E9	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	267	GTPBP10
A4D1P6	A4D1P6	WD repeat WDR91 family	268	WDR91
A4D1S5	A4D1S5	Small GTPase superfamily, Rab family	269	RAB19
A4D1T9	A4D1T9	Peptidase S1 family	270	PRSS37
A4D256	A4D256	Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily	272	CDC14C
A4D2B0	A4D2B0	Metallo-beta-lactamase superfamily, Glyoxalase II family	273	MBLAC1
A4D2B8	A4D2B8	DNA mismatch repair MutL/HexB family	274	PMS2P1
A4D2P6	A4D2P6	Not available	276	GRID2IP
A4GXA9	A4GXA9	EME1/MMS4 family	281	EME2
A4UGR9	A4UGR9	Xin family	283	XIRP2
A5A3E0	A5A3E0	POTE family; Actin family	284	POTEF
A5D8T8	A5D8T8	Not available	285	CLEC18A
A5D8V6	A5D8V6	VPS37 family	286	VPS37C
A5D8V7	A5D8V7	Not available	287	ODAD3
A5D8W1	A5D8W1	Not available	288	CFAP69
A5LHX3	A5LHX3	Peptidase T1B family	289	PSMB11
A5PKW4	A5PKW4	PSD family	291	PSD
A5PLL7	A5PLL7	Fatty acid desaturase CarF family	292	PEDS1
A5PLN9	A5PLN9	TRAPPC13 family	293	TRAPPC13
A5X5Y0	A5X5Y0	Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3E sub-subfamily	294	HTR3E
A5YKK6	A5YKK6	CNOT1 family	295	CNOT1
A5YM72	A5YM72	Not available	296	CARNS1
A6BM72	A6BM72	MEGF family	297	MEGF11
A6H8Y1	A6H8Y1	Not available	299	BDP1
A6H8Z2	A6H8Z2	FAM221 family	300	FAM221B
A6NC98	A6NC98	CCDC88 family	301	CCDC88B
A6NCS4	A6NCS4	NK-2 homeobox family	302	NKX2-6
A6ND01	A6ND01	Folate receptor family	303	IZUMO1R
A6ND36	A6ND36	FAM83 family	304	FAM83G
A6NDB9	A6NDB9	Paralemmin family	305	PALM3
A6NDG6	A6NDG6	HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family	306	PGP
A6NDV4	A6NDV4	TMEM8 family	307	TMEM8B
A6NED2	A6NED2	Not available	308	RCCD1
A6NEM1	A6NEM1	GOLGA6 family	309	GOLGA6L9
A6NER3	A6NER3	GAGE family	310	GAGE12J
A6NFA1	A6NFA1	TIKI family	311	TRABD2B
A6NFQ2	A6NFQ2	TCAF family	312	TCAF2
A6NFX1	A6NFX1	Major facilitator superfamily	313	MFSD2B
A6NFY7	A6NFY7	Complex I LYR family, SDHAF1 subfamily	314	SDHAF1
A6NGG8	A6NGG8	Not available	315	PCARE
A6NGQ2	A6NGQ2	KHDC1 family	316	OOEP
A6NGU5	A6NGU5	Gamma-glutamyltransferase family	317	GGT3P
A6NHL2	A6NHL2	Tubulin family	318	TUBAL3
A6NHQ2	A6NHQ2	Methyltransferase superfamily, Fibrillarin family	319	FBLL1
A6NHR9	A6NHR9	SMC family	320	SMCHD1
A6NHX0	A6NHX0	GATS family	321	CASTOR2
A6NI15	A6NI15	Not available	322	MSGN1
A6NI61	A6NI61	TMEM8 family	323	MYMK
A6NI73	A6NI73	Not available	324	LILRA5
A6NIH7	A6NIH7	PDE6D/unc-119 family	325	UNC119B
A6NIM6	A6NIM6	Major facilitator superfamily, Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family	326	SLC15A5
A6NIX2	A6NIX2	Zyxin/ajuba family	327	WTIP
A6NJ78	A6NJ78	Methyltransferase superfamily, RsmH family	328	METTL15
A6NJ78-4	A6NJ78	Methyltransferase superfamily, RsmH family	329	METTL15
A6NK06	A6NK06	PrpD family	330	ACOD1
A6NK58	A6NK58	LipB family	331	LIPT2
A6NK89	A6NK89	Not available	332	RASSF10
A6NKB5	A6NKB5	Pecanex family	333	PCNX2
A6NKF2	A6NKF2	Not available	334	ARID3C
A6NMB9	A6NMB9	AAA ATPase family	335	FIGNL2
A6NMY6	A6NMY6	Annexin family	336	ANXA2P2
A6NMZ7	A6NMZ7	Type VI collagen family	337	COL6A6
A6NNB3	A6NNB3	CD225/Dispanin family	338	IFITM5
A6NNM8	A6NNM8	Tubulin--tyrosine ligase family	339	TTLL13
A6NNN8	A6NNN8	Amino acid/polyamine transporter 2 family	340	SLC38A8
A6NNY8	A6NNY8	Peptidase C19 family	341	USP27X
A6NNZ2	A6NNZ2	Tubulin family	342	TUBB8B
A6PVC2	A6PVC2	Not available	343	TTLL8
A6PVI3	A6PVI3	RRM NCBP2 family	344	NCBP2L
A6QL63	A6QL63	Not available	345	ABTB3
A7E2V4	A7E2V4	ZSWIM8 family	347	ZSWIM8
A7E2Y1	A7E2Y1	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	348	MYH7B
A7KAX9	A7KAX9	PX domain-containing GAP family	349	ARHGAP32
A7MCY6	A7MCY6	Not available	350	TBKBP1
A7MD48	A7MD48	NSR100 family	351	SRRM4
A8CG34	A8CG34	POM121 family	353	POM121C
A8K0Z3	A8K0Z3	WASH1 family	355	WASHC1
A8K2U0	A8K2U0	Protease inhibitor I39 (alpha-2-macroglobulin) family	360	A2ML1
A8K4G0	A8K4G0	CD300 family	363	CD300LB
A8K7I4	A8K7I4	CLCR family	368	CLCA1
A8K830	A8K830	POU2AF family	369	POU2AF3
A8K8P3	A8K8P3	SFI1 family	370	SFI1
A8K8V0	A8K8V0	Krueppel C2H2-type zinc-finger protein family	372	ZNF785
A8MPY1	A8MPY1	Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRR3 sub-subfamily	377	GABRR3
A8MQ03	A8MQ03	CYSRT1 family	378	CYSRT1
A8MQ27	A8MQ27	Not available	379	NEURL1B
A8MT69	A8MT69	CENP-X/MHF2 family	381	CENPX
A8MTA8	A8MTA8	CIMIP2 family	382	CIMIP2B
A8MTJ3	A8MTJ3	G-alpha family, G(i/o/t/z) subfamily	383	GNAT3
A8MTJ6	A8MTJ6	Not available	384	FOXI3
A8MTQ0	A8MTQ0	Not available	385	NOTO
A8MTZ0	A8MTZ0	BBIP10 family	386	BBIP1
A8MUP2	A8MUP2	Methyltransferase superfamily	387	CSKMT
A8MV65	A8MV65	Vestigial family	388	VGLL3
A8MV65-2	A8MV65	Vestigial family	389	VGLL3
A8MVW5	A8MVW5	Not available	390	HEPACAM2
A8MW92	A8MW92	Not available	391	PHF20L1
A8MW95	A8MW95	Beclin family	392	BECN2
A8MW99	A8MW99	MEI4L family	393	MEI4
A8MXD5	A8MXD5	GRXCR1 family	394	GRXCR1
A8MXV4	A8MXV4	Nudix hydrolase family	395	NUDT19
A8MYU2	A8MYU2	Potassium channel family, Calcium-activated (TC 1.A.1.3) subfamily, KCa5.1/KCNU1 sub-subfamily	396	KCNU1
A8MZ59	A8MZ59	Paired homeobox family	397	LEUTX
A8TX70	A8TX70	Type VI collagen family	398	COL6A5
A9QM74	A9QM74	Importin alpha family	399	KPNA7
A9UHW6	A9UHW6	MIF4GD family	403	MIF4GD
A9YTQ3	A9YTQ3	Not available	404	AHRR
B0I1T2	B0I1T2	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	405	MYO1G
B0L3A2	B0L3A2	Not available	406	FBXW7-AS1
B0YJ81	B0YJ81	Very long-chain fatty acids dehydratase HACD family	408	HACD1
B1AK53	B1AK53	Not available	410	ESPN
B1AL88	B1AL88	NALF family	411	NALF1
B2RPK0	B2RPK0	HMGB family	429	HMGB1P1
B2RTY4	B2RTY4	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	430	MYO9A
B2RUY7	B2RUY7	Not available	431	VWC2L
B2RUZ4	B2RUZ4	SMIM1 family	432	SMIM1
B2RXF5	B2RXF5	Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily	434	ZBTB42
B2RXH2	B2RXH2	JHDM3 histone demethylase family	435	KDM4E
B3KU38	B3KU38	Not available	442	IQCJ-SCHIP1
B6A8C7	B6A8C7	Not available	485	TARM1
B7U540	B7U540	Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ12 subfamily	486	KCNJ18
B7ZAQ6	B7ZAQ6	Golgi pH regulator (TC 1.A.38) family	495	GPHRA
B7ZBB8	B7ZBB8	Not available	496	PPP1R3G
C0HME6	C0HME6	Not available	498	RPL36
C4AMC7	C4AMC7	WASH1 family	499	WASH3P
C9JE40	C9JE40	PAT1 family	502	PATL2
C9JLW8	C9JLW8	MCRIP family	503	MCRIP1
C9JR72	C9JR72	Not available	505	KBTBD13
C9JRZ8	C9JRZ8	Aldo/keto reductase family	506	AKR1B15
D3W0D1	D3W0D1	Not available	511	KLRF2
D6RGH6	D6RGH6	Geminin family	514	MCIDAS
E0CX11	E0CX11	STMP1 family	515	STMP1
E9PQX1	E9PQX1	Not available	549	CATSPERH
F5H094	F5H094	Organo anion transporter (TC 2.A.60) family	557	SLCO1B3-SLCO1B7
G2XKQ0	G2XKQ0	Ubiquitin family, SUMO subfamily	566	SUMO1P1
H0YL14	H0YL14	Not available	575	TMEM250
H3BS89	H3BS89	TMEM178 family	579	TMEM178B
H3BV60	H3BV60	Not available	580	TGFBR3L
K7EJ46	K7EJ46	Not available	596	SMIM22
K9M1U5	K9M1U5	Type-III (or lambda) interferon family	601	IFNL4
L0R8F8	L0R8F8	Complex I LYR family	602	MIEF1
M0R2J8	M0R2J8	Not available	609	DCDC1
M5A8F1	M5A8F1	Not available	610	ERVH48-1
O00115	O00115	DNase II family	611	DNASE2
O00116	O00116	FAD-binding oxidoreductase/transferase type 4 family	612	AGPS
O00124	O00124	Not available	613	UBXN8
O00139	O00139	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, MCAK/KIF2 subfamily	614	KIF2A
O00141	O00141	Protein kinase superfamily, AGC Ser/Thr protein kinase family	615	SGK1
O00142	O00142	DCK/DGK family	616	TK2
O00144	O00144	G protein-coupled receptor Fz/Smo family	617	FZD9
O00148	O00148	DEAD box helicase family, DECD subfamily	618	DDX39A
O00151	O00151	Not available	619	PDLIM1
O00154	O00154	Not available	620	ACOT7
O00154-4	O00154	Not available	621	ACOT7
O00155	O00155	G protein-coupled receptor 1 family	622	GPR25
O00159	O00159	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	623	MYO1C
O00160	O00160	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family	624	MYO1F
O00161	O00161	SNAP-25 family	625	SNAP23
O00165	O00165	HAX1 family	626	HAX1
O00167	O00167	HAD-like hydrolase superfamily, EYA family	627	EYA2
O00167-2	O00167	HAD-like hydrolase superfamily, EYA family	628	EYA2
O00168	O00168	FXYD family	629	FXYD1
O00170	O00170	Not available	630	AIP
O00175	O00175	Intercrine beta (chemokine CC) family	631	CCL24
O00178	O00178	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, GTPBP1 subfamily	632	GTPBP1
O00180	O00180	Two pore domain potassium channel (TC 1.A.1.8) family	633	KCNK1
O00182	O00182	Not available	634	LGALS9
O00186	O00186	STXBP/unc-18/SEC1 family	635	STXBP3
O00187	O00187	Peptidase S1 family	636	MASP2
O00189	O00189	Adaptor complexes medium subunit family	637	AP4M1
O00192	O00192	Beta-catenin family	638	ARVCF
O00194	O00194	Small GTPase superfamily, Rab family	639	RAB27B
O00198	O00198	Not available	640	HRK
O00203	O00203	Adaptor complexes large subunit family	641	AP3B1
O00204	O00204	Sulfotransferase 1 family	642	SULT2B1
O00206	O00206	Toll-like receptor family	643	TLR4
O00212	O00212	Small GTPase superfamily, Rho family	644	RHOD
O00213	O00213	Not available	645	APBB1
O00214	O00214	Not available	646	LGALS8
O00217	O00217	Complex I 23 kDa subunit family	647	NDUFS8
O00219	O00219	NodC/HAS family	648	HAS3
O00220	O00220	Not available	649	TNFRSF10A
O00221	O00221	NF-kappa-B inhibitor family	650	NFKBIE
O00222	O00222	G protein-coupled receptor 3 family	651	GRM8
O00230	O00230	Somatostatin family	652	CORT
O00231	O00231	Proteasome subunit S9 family	653	PSMD11
O00232	O00232	Proteasome subunit p55 family	654	PSMD12
O00233	O00233	Proteasome subunit p27 family	655	PSMD9
O00237	O00237	Not available	656	RNF103
O00238	O00238	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	657	BMPR1B
O00241	O00241	Not available	658	SIRPB1
O00244	O00244	ATX1 family	659	ATOX1
O00253	O00253	Not available	660	AGRP
O00254	O00254	G protein-coupled receptor 1 family	661	F2RL2
O00255	O00255	Not available	662	MEN1
O00257	O00257	Not available	663	CBX4
O00258	O00258	WRB/GET1 family	664	GET1
O00264	O00264	Cytochrome b5 family, MAPR subfamily	665	PGRMC1
O00267	O00267	SPT5 family	666	SUPT5H
O00268	O00268	TAF4 family	667	TAF4
O00270	O00270	G protein-coupled receptor 1 family	668	GPR31
O00273	O00273	Not available	669	DFFA
O00287	O00287	Not available	670	RFXAP
O00291	O00291	SLA2 family	671	HIP1
O00292	O00292	TGF-beta family	672	LEFTY2
O00294	O00294	TUB family	673	TULP1
O00299	O00299	Chloride channel CLIC family	674	CLIC1
O00300	O00300	Not available	675	TNFRSF11B
O00303	O00303	EIF-3 subunit F family	676	EIF3F
O00305	O00305	Calcium channel beta subunit family	677	CACNB4
O00308	O00308	Not available	678	WWP2
O00311	O00311	Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily	679	CDC7
O00322	O00322	Tetraspanin (TM4SF) family	680	UPK1A
O00327	O00327	Not available	681	BMAL1
O00329	O00329	PI3/PI4-kinase family	682	PIK3CD
O00330	O00330	2-oxoacid dehydrogenase family	683	PDHX
O00337	O00337	Concentrative nucleoside transporter (CNT) (TC 2.A.41) family	684	SLC28A1
O00338	O00338	Sulfotransferase 1 family	685	SULT1C2
O00339	O00339	Not available	686	MATN2
O00341	O00341	Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A7 subfamily	687	SLC1A7
O00358	O00358	Not available	688	FOXE1
O00370	O00370	Not available	689	Not available
O00391	O00391	Quiescin-sulfhydryl oxidase (QSOX) family	690	QSOX1
O00399	O00399	Dynactin subunits 5/6 family, Dynactin subunit 6 subfamily	691	DCTN6
O00400	O00400	SLC33A transporter family	692	SLC33A1
O00401	O00401	Not available	693	WASL
O00408	O00408	Cyclic nucleotide phosphodiesterase family, PDE2 subfamily	694	PDE2A
O00409	O00409	Not available	695	FOXN3
O00410	O00410	Importin beta family, Importin beta-3 subfamily	696	IPO5
O00411	O00411	Phage and mitochondrial RNA polymerase family	697	POLRMT
O00418	O00418	Protein kinase superfamily, Alpha-type protein kinase family	698	EEF2K
O00421	O00421	G protein-coupled receptor 1 family	699	CCRL2
O00422	O00422	SAP18 family	700	SAP18
O00423	O00423	WD repeat EMAP family	701	EML1
O00425	O00425	RRM IMP/VICKZ family	702	IGF2BP3
O00429	O00429	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	703	DNM1L
O00442	O00442	RNA 3'-terminal cyclase family, Type 1 subfamily	704	RTCA
O00443	O00443	PI3/PI4-kinase family	705	PIK3C2A
O00444	O00444	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily	706	PLK4
O00445	O00445	Synaptotagmin family	707	SYT5
O00451	O00451	GDNFR family	708	GFRA2
