Entry	Base_Accession	Protein_Family	Gene_Name
A0A024QYR6	A0A024QYR6	PTEN phosphatase protein family	PTEN
A0A024R1X5	A0A024R1X5	Beclin family	BECN1
A0A024R274	A0A024R274	Dwarfin/SMAD family	SMAD4
A0A024R3Y4	A0A024R3Y4	Peptidase C14A family	Not available
A0A024R6A3	A0A024R6A3	Peptidase A22A family	PSEN1
A0A024RBI1	A0A024RBI1	DAMOX/DASOX family	DAO
A0A068F579	A0A068F579	Glycosyl hydrolase 30 family	Not available
A0A068F658	A0A068F658	Glycosyl hydrolase 30 family	GBA
A0A068F753	A0A068F753	Glycosyl hydrolase 30 family	Not available
A0A068FB60	A0A068FB60	Glycosyl hydrolase 30 family	Not available
A0A087WVL8	A0A087WVL8	FMR1 family	FMR1
A0A087WXI3	A0A087WXI3	FMR1 family	FMR1
A0A087WY29	A0A087WY29	FMR1 family	FMR1
A0A087WZT3	A0A087WZT3	Not available	BOLA2-SMG1P6
A0A087X033	A0A087X033	PTEN phosphatase protein family	PTEN
A0A087X1C5	A0A087X1C5	Cytochrome P450 family	CYP2D7
A0A087X296	A0A087X296	Prostaglandin G/H synthase family	PTGS1
A0A096LP01	A0A096LP01	SMIM26 family	SMIM26
A0A0A0MQV1	A0A0A0MQV1	Short-chain dehydrogenases/reductases (SDR) family	HSD11B1
A0A0A0MR05	A0A0A0MR05	WD repeat LST8 family	MLST8
A0A0A0MRF5	A0A0A0MRF5	Sirtuin family, Class I subfamily	SIRT2
A0A0A0MRG2	A0A0A0MRG2	APP family	APP
A0A0A0MS99	A0A0A0MS99	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	ABCC1
A0A0A0MSN4	A0A0A0MSN4	Peptidase M2 family	ACE
A0A0B4J1S7	A0A0B4J1S7	Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily	PTPN22
A0A0B4J250	A0A0B4J250	DAMOX/DASOX family	DAO
A0A0B4J2F0	A0A0B4J2F0	Not available	PIGBOS1
A0A0C3SFZ9	A0A0C3SFZ9	FCHO family	FCHO1
A0A0C4DFN3	A0A0C4DFN3	AB hydrolase superfamily, Monoacylglycerol lipase family	MGLL
A0A0C4DG85	A0A0C4DG85	Zinc-containing alcohol dehydrogenase family, Class-IV subfamily	ADH7
A0A0C4DGF1	A0A0C4DGF1	Not available	ZBTB32
A0A0C5B5G6	A0A0C5B5G6	Not available	MT-RNR1
A0A0G2JIW1	A0A0G2JIW1	Heat shock protein 70 family	HSPA1B
A0A0G2JLB3	A0A0G2JLB3	Glycosyl hydrolase 30 family	GBA1
A0A0G2JNZ0	A0A0G2JNZ0	Glycosyl hydrolase 30 family	GBA1
A0A0G2JNZ5	A0A0G2JNZ5	Glycosyl hydrolase 30 family	GBA1
A0A0G2JQ62	A0A0G2JQ62	1-acyl-sn-glycerol-3-phosphate acyltransferase family	LPCAT1
A0A0G2JRI7	A0A0G2JRI7	1-acyl-sn-glycerol-3-phosphate acyltransferase family	LPCAT1
A0A0K0K1J8	A0A0K0K1J8	Adenylyl cyclase class-4/guanylyl cyclase family	HEL-S-7a
A0A0K0K1K3	A0A0K0K1K3	Adenylyl cyclase class-4/guanylyl cyclase family	HEL-S-172mP
A0A0K0L4Y0	A0A0K0L4Y0	Not available	PNPLA2
